title,company,state,location,category,type,pay,description,sourceUrl
WE’RE HIRING – BARTENDER,Stanton in the heart of the city,QLD,Brisbane,other,casual,,"We’re looking for an experienced, passionate bartender to join our team at Stanton in the heart of the city.
What we offer:
• A vibrant, fast-paced work environment
• Flexible shifts (15–25 hrs/week)
• Supportive team culture
What we’re looking for:
• Minimum 1 year experience behind the bar
• Strong cocktail knowledge & speed of service
• RSA certificate
• Great communication skills and teamwork attitude
Location: QueensPlaza – Brisbane City
Send your CV to queensplaza@stantonfood.com.au or drop by in person",
Live - On Casual Food and Beverage Attendants,Employer (see description),QLD,Cairns,hospitality,casual,,"The Alyangula Golf Club on Groote Eylandt in the heart of the gulf of Carpentaria is looking to expand its team! We are looking for two live - on casual food and beverage attendants that can do it all!
We are looking for two enthusiastic bar, bistro, & gaming attendants to join our team. One role is dedicated for bar, maintenance, gardening, and security. Key skills include mixology, spirit knowledge and liquor accord knowledge. the second role is primarily assigned to the bistro and kitchen with some bar hours. These roles are casual positions with 15 - 38 hrs per week. Open to more hours for the right candidates. There will be opportunities for progression with our business and full - time work may be a possibility for the right person. NT gaming manager's license is certainly an added bonus. Immediate start if possible.
REQUIREMENTS:
RSA
RSG
Ability to work in Australia
Relocation to Eylandt
PERKS:
Accommodation provided at $50 per fortnight for a unit or $100 per fortnight for a 2 bedroom house, all shared accommodation.
Half price meals during shifts
Excellent career progression
Award rates given provided you have both an RSA & RSG ($31.23 - $36.09)
Working Holiday visa sign off.
Minimum required stay of 6 MONTHS is essential. Club will pay for flights to island. Flights leave from Darwin & Cairns.
Please send any resumes or correspondence to Manager@Alyangulagc.com.au
👍 1",
🔨Carpenter Needed – Ellis Beach🔨,Employer (see description),QLD,QLD,other,full_time,,"$55-$60p/h for qualified & experienced Carpenters
Immediate start
Fulltime hours
2-3 months work
Apply now by clicking on the link below or call 1300 129 732.",
Barista Wanted - Everyday Lover ☕️,Everyday Lover,QLD,QLD,hospitality,casual,,"We’re on the hunt for an experienced barista to join our team at Everyday Lover.
This is a fast-paced, high-volume café, so we’re looking for someone who thrives under pressure and genuinely loves what they do.
You’ll need:
• Strong latte art + confident dialling in
• Experience with cold drinks (matcha, smoothies, juices)
• Excellent customer service + positive energy
• Ability to stay calm and efficient during busy service
• Own transport or live locally (we’re not close to the city)
What we offer:
• Up to 30 hours per week for the right person
• A supportive, fun team environment
• Staff meals on shifts and great discounts across both of our venues
If you’re passionate about coffee and want to work in a buzzing café with a great local following, we’d love to hear from you.
📩 Send your resume + availability to gday@everydaylover.com and jasmyn@everydaylover.com",
📣 Station Hand Opportunity 📣,Employer (see description),QLD,QLD,farm,casual,,"Central Queensland grazing operation Southwest of Springsure is seeking an energetic, self-motivated and reliable Station Hand.
The role includes a wide variety of duties:
☑️Mustering and livestock handling
☑️Building station infrastructure- fencing and water systems
☑️Welding
☑️Machine Operation and maintenance
☑️General station maintenance, labour and chores
Skills:
Horse riding, cattle handling and welding skills an advantage.
Must have positive attitude and clean habits.
Comfortable accommodation and wifi provided. Wage package negotiable depending on experience.
📞 Matthew 0429 844 100
📧myola_reds@bigpond.com",
🔨 Cabinet Maker Looking to Get Off the Tools?,(LCC),QLD,QLD,retail,casual,,"We’ve got the perfect
opportunity for you.
Lazarus Custom Cabinetry
(LCC) is looking for someone to
join our growing team in an office-based
role, working primarily on new residential homes.
About the role:
· Preparing
shop drawings
· Site measures
· Assisting
with general office tasks
No drafting experience?
No worries.
We’re happy to provide training for the
right person — cabinet making experience is what matters most & basic
computer skills.
This is a great opportunity
to step off the tools while still staying in the industry and building your
skillset.
📍
Based in Bungalow
📞
Contact Brayden: 0423 867 814
📧 info@lazaruscc.com.au",
Cleaning contract,Employer (see description),QLD,cairns,cleaning,contract,,"Cleaning sub contractor
Looking a cleaning sub cintractor for day time clraning work.
10hrs per week. Monday, wednesday and Friday
Location cairns city and edmonton
Cairns city 3days per week 2hrs each day (Monday, wednesday amd Friday)
Edmonton 2days per week 2hrs each day( Tuesday and Friday)
Both job can be done school hours (7.00am to 3.30pm) any time between
If intrested please call
0492804958
Email lhettiarachchige@cirka.com.au",
Position Available,Employer (see description),QLD,QLD,retail,casual,,"Morning shifts 6am - 1pm
Duties include customer service, lotto, cooking & general shop duties.
Training will be provided.
Please contact the shop on 40360001 or email fgwhiterock@gmail.com with information & resume",
Hiring Cook - Bens Burgers Fortitude Valley,Employer (see description),QLD,Fortitude Valley,hospitality,casual,,"Hiring: Cook – Ben's Burgers Fortitude Valley
Looking for an experienced, reliable Grill Cook to join our burger joint.
Main Duties:
* Grill burgers, sides & menu items
* Keep kitchen clean & follow food safety
* Do food prep & stock take
* Manage kitchen & team during service
Requirements:
* Grill/fast-food experience
* Must be available Thursday - Saturday for night shifts.
* Team player with good communication
* Valid Australian work rights
📍 On-site in Fortitude Valley, QLD
MUST PROVIDE DETAILS:
Resume - Work Availability - Available Start Date.
📧 Apply: bbjobs786@gmail.com",
Poultry Farm Hands required - For Catching Chickens - Night Shift Role,Multiquip,QLD,Brisbane,farm,casual,,"Multiquip is seeking reliable and fit Poultry Farm Hands to catch Chickens at farms. Starting point at Loganholme
You will travel to the farms in designated teams/crews.
You will always start and finish your shift at our depot located at Loganholme.
The successful applicant will need the following:
Have full working rights in Australia
Be able to work night shifts (Staggered starting times)
Be able to work an 8-10 hour shifts
Be fit and able to do physical lifting of Poultry
Excellent time management and punctuality
Work well in a busy team environment
Always maintain PPE Requirements and follow safety procedures
Responsibilities will include:
Working an 8-10 hour shift
Travelling with crew to Brisbane Farms, Sunshine Coast and Warwick.
What we offer:
Immediate start available
Sunday night to Thursday night roster
Onsite training and development opportunities
Modern and well-maintained equipment
Due to quarantine procedures, successful applicants must not have live poultry, avian or pigs kept at their place of residence*
If this sounds like you and you would like to be part of the Multiquip Team, don't delay, APPLY NOW! 02 9606 9011
Multiquip is an equal employment opportunity employer.
Only shortlisted suitable applicants will be contacted.",
🚨 We’re Hiring Cleaners in Cairns!,All One Caring and be part of a,QLD,Cairns,other,casual,,"Join All One Caring and be part of a team that values reliability, quality, and care. Enjoy flexible work and make a real impact in your community. 🧼✨
✔ Flexible hours
✔ Supportive team
✔ Ongoing work
📞 Call: 1300 255 100 | 0403 560 331
📧 info@allonecaring.com.au
Apply today and start working with a team that cares. 💛",
Now Hiring – FOH member at Marlowe Restaurant,Marlowe Restaurant,QLD,Brisbane,hospitality,casual,,"Seeking a motivated and proactive FOH to join our team.
About the Role:
Approximately 20–30 hours per week,
Primarily evening and weekend shifts
Opportunity to work across a busy two-level venue in South Brisbane
Supportive and professional team environment
We’re looking for someone who is:
Proactive and takes initiative
A fast learner with great attention to detail
Keen to work and eager to develop within the hospitality industry
Send me an email to jorge@marlowebne.com.au with your resume if interested.
Marlowe Team",
EXPERIENCED HOUSEKEEPER,Employer (see description),QLD,QLD,cleaning,casual,,"Housekeeper required for our busy holiday complex located in Tugun, all cleaning equipment supplied.
Must have previous experience.
Hours required between 9:00am and 2:30pm.
Please call our office on 07 5534 6599 to discuss further.
You can also send your resume to info@pacificsurfgoldcoast.com.au",
Experienced Bartender,Rúng Brisbane,QLD,Brisbane,other,casual,,Rúng Brisbane is looking for a charismatic motivated experienced bartender to join our newly opened venue in the valley. The role would be 5 days a week from Wed-Sun. Must have cocktail experience & ability to work in a fast paced environment. If this could be you please Dm me / shoot resume to rungbne@gmail.com,
Part time housekeeper,Employer (see description),QLD,Sunshine Coast,cleaning,part_time,,"This is a part-time role for a Housekeeper, based in Mooloolaba, Sunshine Coast, QLD. Work hours vary each day but you are always required in the morning. Start time can vary but always by 10.00am and usually for 2 - 4 hours per day. Weekend work is also required when necessary. The Housekeeper will be responsible for maintaining cleanliness and tidiness across the apartments, including making beds, cleaning rooms and ensuring all spaces are presentable for guests. As you will be working alone, attention to detail within rooms is required. Reliability and honesty is paramount. Previous experience is essential. Work with a friendly & flexible Management team. If interested, please contact Jenny (07) 54443241.",
WE'RE HIRING!,Employer (see description),QLD,QLD,other,casual,,"We're hiring! To learn more please visit:
https://tinyurl.com/3x784aks",https://tinyurl.com/3x784aks
Cleaner / Gardener - Outdoor & Indoor Variety,our award-winning,QLD,Brisbane,farm,full_time,,"Love variety in your work? Join our award-winning team at Blue Property Services, a leading strata and commercial property maintenance company in Brisbane. With multiple industry awards and a strong reputation for reliability, we take pride in keeping properties looking their best.
As part of a 2-person team, you’ll enjoy a mix of indoor and outdoor tasks maintaining gardens, offices, and commercial buildings across Brisbane — with hands-on training to build your skills and grow with us.
THE ROLE
Full-time, 7:00 AM – 3:30 PM (Mon–Fri), with overtime as needed. You’ll handle cleaning, gardening and grounds maintenance at apartment complexes, business offices, and retail/office building common areas ensuring sites are clean and well-presented.
KEY DUTIES
Cleaning & Presentation
Cleaning and upkeep of strata and commercial common areas.
Office and retail building bathroom/amenities cleaning and restocking supplies.
Sweeping, vacuuming, mopping, dusting, and cobweb removal.
Spot-cleaning external areas such as glass doors, handrails, and signage.
Outdoor cleaning (paths, driveways, entryways, building surrounds).
Bin management (placing bins out/in, bin washing, keeping bin areas tidy).
Gardening & Grounds
Lawn mowing, hedge trimming, pruning, and general plant care.
Weed control (including hand weeding and safe use of herbicides).
Mulching, planting, watering, and garden refurbishments.
Tree and shrub maintenance (small-scale).
Operation of mowers, trimmers, blowers, and other tools.
Green-waste removal and transport to recovery centres.
Other Responsibilities
Operate job management app for scheduling, reporting, and uploading site photos.
Work safely in line with WHS procedures and report hazards promptly.
Communicate effectively with management, teammates, and clients.
Proactively identify issues and assist in problem-solving.
Keep company vehicles and equipment clean.
WHAT WE’RE LOOKING FOR
Valid driver’s licence (essential).
Comfortable working in a 2-person team.
Experience in cleaning/gardening (preferred — training provided).
Queensland White Card (or willing to obtain).
Strong attention to detail.
Well-presented, reliable, and able to perform routine tasks without supervision.
Good organisation and time management.
Great physical condition — able to carry out physically demanding tasks and work safely in all weather conditions (heat, cold, rain).
Bonus: First Aid, Horticulture, or Landscaping qualifications.
Benefits
Pay based on the Cleaning Services Award.
Stable full-time role with consistent hours.
Award-winning company and supportive culture.
Variety of indoor & outdoor work.
Uniform, tools and equipment provided.
Ongoing training.
Working Holiday Visa holders are welcome.
HOW TO APPLY
Email your resume (and a brief note about your experience and availability) to job@blueservices.com.au with the subject: “Cleaner/Gardener Application – [Your Name]”
👍 1",
Labourer Needed,Employer (see description),QLD,QLD,construction,casual,,"FIFO Labourer needed for mining construction project up in the Gulf, Croydon QLD. Concreting experience preferred though not a necessity, can train on the job. Must have construction experience, own basic hands tools and construction industry white card. Accommodation, food and flights supplied. Roster 2 weeks on 1 week off. 5 month project, ongoing work for right person. Rates based on experience. Contact Joey if interested 0418653979
👍 1",
Fonzie Abbott is Hiring,Fonzie Abbott,QLD,QLD,hospitality,casual,,"Fonzie Abbott is hiring an Assistant Manager and skilled Barista for our location in Albion.
We’re seeking a dedicated, responsible individual who thrives in a fast paced environment, with a passion for coffee and exceptional customer service. In this dual role, you will work closely with the General Manager, lead daily operations, and bring strong barista experience in a high volume coffee environment. If you have leadership skills, coffee expertise, and a drive to succeed, send your resume to:
foxstreet@fonzieabbott.com.
👍 1",
Experienced Forklift Operator,Quest Personnel,QLD,QLD,farm,casual,$33.18 per hour,"Quest Personnel are currently seeking an experienced Forklift Operator for an ongoing opportunity with our client based in Mareeba. This is a fantastic role for someone looking for stable weekday work, consistent hours, and long-term opportunity within a well-established operation.
If you are a reliable forklift operator who enjoys staying active and working in a team-focused environment, this role offers steady work and a great team culture.
What’s on Offer
Monday to Friday roster – 6:00am to 2:00pm, end time can flex to 6pm depending on fruit season
Ongoing, stable employment
$33.18 per hour
Immediate start available
Work with a supportive and safety-focused team
Key Responsibilities
Operating a forklift to move pallets, materials, and goods
Loading and unloading trucks
Assisting with general warehouse, yard, or production duties
Ensuring safe handling of goods and following all WHS procedures
Maintaining a clean and organised work area
Requirements
Current LF Forklift Licence
Previous forklift operating experience
Physically fit and comfortable with manual handling
Reliable with a strong work ethic
Ability to work independently and within a team
Must be able to pass a Drug & Alcohol test
Must have a clean Police Record
Ideal candidate must live within a 30min drive of Mareeba
Please contact Jack on 0455 865 848 or email jackp@questpersonnel.com.au for more information",
Experienced Section Waiter,The Lodge by Rodd & Gunn,QLD,Fortitude Valley,hospitality,casual,,"The Lodge by Rodd & Gunn is looking for an experienced section waiter to join our team of in the heart of James Street (Fortitude Valley).
Some fine dining experience is preferred but not essential. Fluent English and Friday/Saturday availability are needed. We close Sunday/Monday so you can enjoy regular days off and we can be flexible with rostering around study or second jobs.
20-25 hours per week available.
Please email your resume through to janelled@roddandgunn.com",
🍺 Hiring – Bartender / All Rounder,Employer (see description),QLD,Brisbane,hospitality,casual,,"We are looking for an experienced Bartender / All Rounder to join our team.
Location:
Brisbane City CBD
About the role:
• beers, basic cocktails & drinks
• Customer service
• Running food & clearing tables
• Working in a fast-paced bar environment
Requirements:
• Bar experience preferred
• Friendly & reliable
• Ability to work evenings
• Valid RSA required
What we offer:
• Flexible shifts
• Friendly team environment
• Staff drinks & meals
If you’re interested, please DM me or send your resume to:
📧 info@fireflybrisbane.com",
☕ Barista Job – Atherton Tablelands (88 Days Eligible),Lake Barrine Teahouse,QLD,Cairns,farm,casual,,"Lake Barrine Teahouse is looking for a skilled barista to join our friendly team in one of the most beautiful locations in Far North Queensland.
📍 Lake Barrine – Atherton Tablelands (1 hour from Cairns)
Job details:
• 5 days per week
• Start late March
• Minimum 1+ year barista experience required
• Must be confident making coffee & latte art
• Comfortable working in a fast-paced café environment
• Friendly team to be part of
• Accommodation available
• Eligible for 88 days regional work
Work beside a stunning rainforest lake and be part of a historic teahouse with a lovely supportive team.
📩 Send a message or email your CV to info@lakebarrine.com.au
👍 1",
🌏 Tour Guide Job – Stradbroke Island Tours,Stradbroke Island Tours,QLD,Brisbane,farm,casual,,"📍 Brisbane
📅 Casual – Approx. 2 tours per week (11 hours per tour)
👤 1 position available
Stradbroke Island Tours is looking for one friendly, reliable and confident tour guide to join our team.
We operate small-group day tours from Brisbane to North Stradbroke Island (Minjerribah), showing guests wildlife, beaches and the natural beauty of the island. If you enjoy being outdoors, meeting people from around the world and delivering great experiences, this could be the perfect job for you.
⚠️ This role involves driving, guiding guests and speaking to groups throughout the day, so strong communication and customer service skills are important.
✨ What the job involves
Driving guests from Brisbane to Stradbroke Island
Guiding a full-day tour and sharing information about the island
Looking after guests and ensuring they have an amazing experience
⏱ Work schedule
Approximately 2 tours per week
Each tour runs for around 11 hours
✅ Requirements
Must already hold a QLD Driver Licence
Must be able to obtain a Driver Authorisation (DA) from the Queensland Transport Department
Please check that you are eligible for a DA before applying
Comfortable speaking to groups and hosting guests
Reliable, professional and confident driving
🌿 Why join us
Work in one of Queensland’s most beautiful locations
Meet people from all over the world
Small group tours with a relaxed and fun atmosphere
This job is eligible for 88 days for a second Working Holiday Visa
⚠️ Important
This position is for one person only – we cannot hire couples or groups.
Please only apply if you are genuinely interested in the job, not just the visa days.
📩 To apply
Email Gizelle at
info@stradbrokeislandtours.com
Email subject: STRADDIE TOUR GUIDE APPLICATION
Please include:
1️⃣ Your CV
2️⃣ A short introduction about yourself
3️⃣ Confirmation that you hold a QLD driver licence and can obtain a DA
Applications missing this information may not be considered.",
WE’RE HIRING: Bar & Gaming Attendant – Salisbury Bowls Club,Salisbury Bowls Club,QLD,QLD,hospitality,casual,,"Salisbury Bowls Club is seeking a friendly and reliable Bar & Gaming Attendant to join our team.
This is a casual position offering approximately 10–15 hours per week. Good availability, including on weeknights and weekends is essential.
Requirements:
* Current RSA and RSG
* Hospitality or gaming experience preferred, but not essential
* Positive attitude and strong customer service skills
* Able to start ASAP
We offer a welcoming team environment and full training provided.
To apply, please email your resume and cover letter to admin@salisburybowls.com.au
Interviews will be conducted early to mid next week with the club manager.",
⭐ RETAIL WORKERS WANTED ⭐,Employer (see description),QLD,QLD,retail,casual,,"City N Country is currently looking for enthusiastic casual retail staff to join our team.
We are seeking reliable and friendly team member to assist with customer service, sales, and general store duties. If you have a passion for fashion, love working with people, and enjoy a fast-paced retail environment, we would love to hear from you.
This position is casual and shifts will be rostered under the Retail Award.
To apply, please email your resume to:
📧 enquiries@cityncountry.com.au
Please include the following in your application:
• Your age
• Your availability (days/times you can work)
• Your contact details
Retail experience is preferred but not essential — a positive attitude and willingness to learn are most important.
Join the team at City N Country 🤎
A little bit city. A whole lot country.",
FOLIAGE HARVESTERS REQUIRED - NO EXPERIENCE NEEDED,The fresh-cut foliage division of the business,QLD,Sunshine Coast,other,casual,,"Foliage Harvesting Positions
Cedar Hill Corporate Group is a group of Australian horticultural companies specialising in the production and marketing of Australian native plants for the nursery, landscaping, and cut flower industries.
The fresh-cut foliage division of the business is seeking enthusiastic & energetic people to fulfill multiple positions for our foliage harvesting roles based on the Sunshine Coast.
No previous experience is required. Our foliage is all hand-picked. All training is provided to meet our specific requirements.
Position requirements are:
Preference will be given to applicants with a suitable 4WD for off-road use as you will be required to use your vehicle.
Mobile Phone.
Enjoy working outdoors.
Able to work alone (when needed).
Enjoy being part of a busy team.
Early morning starts.
Reliable.
Reasonable level of fitness.
Piece picking rate, Award wages, and daily vehicle allowances apply.
An opportunity to work outdoors with a great work-life balance (no weekend work required).
Please send a cover letter and resume to andyd@cedarhill.com.au
👍 1",
The Barmen is Hiring,The Barmen,QLD,Brisbane,retail,full_time,$40/hr,"Brisbane Legends,
The Barmen are looking for enthusiastic individuals available for as per needed work as private bartenders, waitstaff, hen’s entertainers and mixologists!
Anyone is welcome to enquire.
We’ve got big weekends for events coming up for the 21st March, 28th March and the 11th April across SE QLD
The Barmen are an exclusive bartending service that cater to a variety of events, from Birthdays, to Weddings and Hen’s Parties. We are a high-class, professional service that delivers an exceptional level of service to our clients.
We are looking to add to our roster staff who would be available for majorly weekend work at our events. We are creating a network of staff that we can contact when we require staff to assist with our events.
Event locations can be across the Brisbane, Gold Coast, NSW, Sunshine Coast and Darling Downs region. Employees will be given gigs close to their location, but travel pay will be paid for gigs a distance away.
Extensive bartending or cocktail experience is ideal but not necessary, as all training will be provided. Great opportunity for current Hospo staff to change it up, or for full time staff to earn a bit of extra coin on the side.
We do require our employees to have exceptional customer service, high energy, and be able to work individually and within a small team. Being able to represent our brand values and offer the best service to our customers are our top priority for our employees.
Pay is through ABN / cash, at $40/hr upwards, travel is paid if travelling a fair way is required.
Please reach out with your resume / CV, if you’re a Hospo wiz keen for a change of pace and scenery, we’d love to connect!
www.thebarmen.com.au
owner@thebarmen.net.au
0458119959
Cheers 🥂
Jack and Dylan
The Barmen
👍 1",
Nursery Staff - Multiple positions,Greenstock,QLD,QLD,farm,casual,,"Join the team at Greenstock, a leading wholesale nursery dedicated to growing healthy, high-quality plants in a beautiful outdoor setting. From seedlings to advance trees, we are passionate about plants!
If you are physically fit, reliable, and ready for a role where you can make a real difference, we want to hear from you!
We are currently looking for individuals to join the following teams;
Propagation: Perform cuttings, tube potting, plant maintenance and orders
Tree Production: Join our tree production and maintenance crew. Learn the art of growing a great tree and keep them looking great in the nursery.
Truck Delivery Driver (Heavy Combination): Deliver orders to our amazing customers. Heavy-combination license required.
What do we look for in our people?
No experience required but a great attitude is essential
Fit and healthy
Be available five days per week (Monday-Friday)
Punctual and an interest in horticulture, conservation or arboriculture
Polite and courteous
Work well autonomously or within a team
Have reliable transport
Beneficial attributes-
Current Drivers License
Horticulture experience
Other vehicle Licenses or tickets
Feel free to email sales@greenstock.au to apply or if you have any questions.",
‼️ NOW HIRING ‼️,our amazing,QLD,QLD,other,casual,,"‼️ NOW HIRING ‼️
◾️ Su Casa Nightclub & Rooftop is on the hunt for some legends to join our amazing team across multiple areas ◾️
We’re looking for:
🍺 Glassies
🍾 Bottle Service Waitresses
✨ Door Hosts
If you’re reliable ✅ have a strong work ethic ✅ willing to learn ✅ and thrive in a fast-paced venue ✅ WE WANT YOU!!
Even if you’d like to just pick up a few extra hours a week, we’d love to hear from you!
Experience is preferred but not essential as we’ve got a great team who’ll support you through and through!
Shoot me an email to andrea@lunagroup.com.au 👑",
Hello guys!,Ramona Trattoria,QLD,QLD,hospitality,casual,,"Ramona Trattoria is looking for figures to add to our team
There’s a section waiter position open (20-30 hrs per week, 5 days a week, mostly 5pm onwards) and a bartender position (dispense, 20-25 hrs per week, weekends mostly)
Experience and good attitude a must. We are a chill neighbourhood restaurant with amazing food and lots of locals love.
If the idea of 10pm finishes, a close knit team and a relaxed work environment sounds good to you,
Send me a email ciao@ramonatrattoria.com.au with your cv
Immediate start for the right candidate
Ciao!",
Floor Staff,Fattoush Bayside at Redcliffe waterfront,QLD,QLD,hospitality,casual,,"Hi all!!
Fattoush Bayside at Redcliffe waterfront is looking to hire 2 x floor staff with potential bar shifts!
We open on the 23rd this month and would love to add to our team.
Im running interviews this week and next week, please comment and send your resume to foh@fattoushbayside.com.au",
Milking Position - Rosevale QLD,Employer (see description),QLD,QLD,farm,casual,,"We are looking for a reliable, self motivated person to fill the milking position currently available on our farm in Rosevale, Queensland.
This position would involve a 12 day fortnightly roster with every second weekend off. It would include morning and afternoon shifts for those 12 days (22 shifts total, 2 shifts off during the fortnight on top of the weekend mentioned). Each shift is based on 3 hours.
Duties would include (but not limited to) collection of cows, milking, startup/clean up of dairy and other duties.
Experience is not necessary as training will be provided but an understanding on how a dairy operates is beneficial.
Wage as per the Pastoral Award. On farm accommodation is available for the right applicant. Resume must include 2 references. Applicants must be already in Australia.
Please email resume to craigsellars@bigpond.com",
We're Hiring - Hey Mate Cafe in Cairns,"We're Hiring - Hey Mate Cafe in Cairns
Hey mate",QLD,Cairns,hospitality,casual,,"Hey mate 👋
Breakfast is coming back soon 🍳 — so we’re looking for two people to join our café crew.
☕ Junior staff member – weekday shifts
🧑‍🍳 Chef – weekend shifts
Good little team and a busy café.
The cafe is fully powered up again ⚡ and we’re getting ready to expand our breakfast and lunch menu for the busy season.
Think you’d be perfect? Drop a resume into the café.
Cheers!",
🚨 WE ARE HIRING – Trades Assistant / Data Cabling,🚨 WE,QLD,Cairns,other,casual,$32 – $38 per hour,"📍 Cairns | Immediate Start
Moore Solutions is a local security and communications company specialising in security systems, alarms, intercoms and data cabling.
We’re looking for a reliable Trades Assistant to join our team.
The Job
Running data cable
Assisting with security & alarm installations
Residential & commercial work
Work across Far North Queensland
Requirements
✅ Reliable & punctual
✅ Good communication skills
✅ Handy with tools
✅ C Class driver’s licence
✅ Physically fit for manual work
✅ Working at Heights ticket (desirable)
✅ Must have work rights in Australia
Hours
Monday – Friday
8am – 4pm
Minimum 20 hours per week
Pay
💰 $32 – $38 per hour (depending on experience)
💰 Above award rates
What We Offer
✔ On-the-job training
✔ Travel throughout FNQ
✔ Work-life balance
✔ Friendly small team
If you want honest work with a good crew, we’d love to hear from you.
📧 Send your CV to
jobs@mooresolutions.com.au",
Portside Social is Hiring !,Portside Social,QLD,Hamilton,hospitality,casual,,"Gday guys, Portside Social in Hamilton is looking for a driven and passionate bartender to add to our team ! We are a Gastropub located in Portside Wharf.
We serve classic pub style food and a mix of tap beers/cocktails.
At least 1 yr of bartending experience required, with restaurant experience being preferable !
Friday/Saturday availability is a must, with weekday being beneficial !We have 10-15hrs on offer at the moment, with more available to the right candidate !
If you are interested, please email your resume to manager@portsidesocial.com.au.
Cheers !",
Now Hiring - Bartender at Marlowe Restaurant,Marlowe Restaurant,QLD,Brisbane,hospitality,casual,,"Seeking a motivated and proactive Bartender to join our team.
About the Role:
•Primarily evening & weekend shifts
•Opportunity to work across a busy two-level venue in South Brisbane
•Supportive and professional team environment
What we look for:
•Proactive and takes initiative
•A fast learner with great attention to detail
•Keen to work and eager to declare within the hospitality industry
•Experience needed
Send me an email to luke@marlowebne.com.au with your resume.
Marlowe Team",
Embassy Hotel is hiring!,Embassy Hotel,QLD,QLD,hospitality,casual,,"We are currently looking for Bar & Gaming staff.
Those with RMLV and AML will be preferenced, but there a multiple roles up for grabs.
Award wage or higher depending on experience.
Send your resume to jeremy@embassyhotel.net.au",
🔥 Villa by MAYA – WE’RE HIRING 🔥,Villa by Maya in Brisbane,QLD,Brisbane,hospitality,casual,,"Villa by Maya in Brisbane is looking for some legendary hospitality staff to join the team.
We’re currently hiring:
🍸 Bartenders
🍽 Waitstaff
👋 Host
If you love busy services, great music, strong margaritas and a fun team, we want to hear from you.
What we’re looking for:
• Hospitality experience
• Good energy & great with guests
• Ability to handle a busy service
• Weekend availability
What you get:
✔ Work in a busy, well-known venue
✔ Great team & positive culture
✔ Good hours available
✔ Opportunities to grow within the business
✔ 20% Discount across Coats Group venues
📍 Brisbane
If you’re keen, send your resume or a quick intro via email to people@coatsgroup.com.au",
☕ Barista Job – Atherton Tablelands (88 Days Eligible),Lake Barrine Teahouse,QLD,Cairns,farm,casual,,"Lake Barrine Teahouse is looking for a skilled barista to join our friendly team in one of the most beautiful locations in Far North Queensland.
📍 Lake Barrine – Atherton Tablelands (1 hour from Cairns)
Job details:
• 5 days per week
• Start late March
• Minimum 1+ year barista experience required
• Must be confident making coffee & latte art
• Comfortable working in a fast-paced café environment
• Friendly team to be part of
• Accommodation available
• Eligible for 88 days regional work
Work beside a stunning rainforest lake and be part of a historic teahouse with a lovely supportive team.
📩 Send a message or email your CV to info@lakebarrine.com.au",
Brand new venue in Caxton Street - Looking to fill multiple positions!,Employer (see description),QLD,QLD,hospitality,casual,,"Looking for FOH, Bar, and Kitchen staff for a brand new venue located on Caxton Street, opening late April.
Please email resume to andre@themilton.com.au
Thank you! 😊
👍 1",
NOW HIRING,Employer (see description),QLD,QLD,other,casual,,"Hey Chica! Is on the hunt for some superstars to join the team & we’ve got multiple roles to fill!
We’re looking for:
✨ Door Hosts
🍸 Bartenders
🥂 Glassies
If you’re reliable, energetic, and thrive in a fast-paced venue, we want to hear from you. Experience is preferred (especially behind the bar), but attitude, work ethic, and team spirit are everything.
Send your resume through to vm.heychica@ausvenueco.com.au 💃🏻
👍 1",
Casual Barista - Samford,Employer (see description),QLD,QLD,hospitality,casual,,"If you’re looking for a bit of a change of pace, enjoy working solo and have experience pumping out fantastic coffee feel free to reach out.
Banksia & Birch - Coffee Bar is the perfect side gig, if you need some more hours to pad out your roster reach out!
-
Located in the bustling country suburb of Samford you’ll enjoy the fresh air, birds singing and lovely locals.
Plus there’s many a dog to pet!
👍 1",
"Tractor Operator - Emerald, QLD",Employer (see description),QLD,Emerald,farm,casual,$35.00 per hour,"The Role
We're looking for an experienced Tractor Operator to join one of our citrus client in Emerald, QLD. This is an agriculture role based outdoors in a practical, fast-paced farm setting. You'll operate modern tractors for spraying, slashing, and general farm work, with a strong focus on safety, quality, and getting the job done right.
Key Responsibilities
Your main purpose in this role is to operate tractors and supporting machinery safely and efficiently to complete spraying, slashing, and general farm operations. Key responsibilities include:
Operate John Deere 6125M and/or Kubota 6000 series tractors for daily farm tasks
Carry out spraying and/or slashing operations to required standards
Use GPS guidance systems (Trimble experience is advantageous, but not essential)
Perform routine checks and maintain safe operation of tractors and equipment
Support general farm operations as required, working independently or with the team
Benefits
$35.00 per hour
Approx. 3 months of work
Approximately 40 hours per week
Operate well-regarded machinery with a mix of spraying, slashing, and farm duties
Outdoor role with variety across day-to-day operations
Safety-first workplace with a team that values reliability and initiative
Your Skills & Experience
Proven experience operating tractors and related farm machinery
Previous spraying experience preferred (training/refreshers on-site may be provided where suitable)
Citrus harvest experience
Strong understanding of safe work practices and hazard awareness
Comfortable working independently and as part of a team
Reliable, punctual, and motivated with a strong work ethic
Flexible attitude and willingness to help across a range of farm tasks
https://www.agrilabour.com.au/candidates/current-positions/tractor-operator-emerald-qld-bbbh29098/application-form/20012/",https://www.agrilabour.com.au/candidates/current-positions/tractor-operator-emerald-qld-bbbh29098/application-form/20012/
